Label,x,y,z
Myrielxyz,-88.644073,61.000607,70.293587
Napoleonxyz,-117.468613,98.950722,105.913673
MlleBaptistinexyz,-79.955757,49.638729,59.294689
MmeMagloirexyz,-81.962975,52.294598,61.728054
CountessDeLoxyz,-103.731148,104.191574,105.203140
Geborandxyz,-126.709709,95.378433,96.669113
Champtercierxyz,-122.843498,86.007233,109.099922
Cravattexyz,-114.660645,106.619797,94.346581
Countxyz,-102.516060,79.656219,89.035873
OldManxyz,-108.119865,91.654953,113.353935
Labarrexyz,-91.394768,-16.155775,52.248413
Valjeanxyz,-43.766384,0.174719,9.720669
Margueritexyz,-77.947433,49.279140,-43.504089
MmeDeRxyz,-92.386169,1.532883,53.891270
Isabeauxyz,-66.041634,14.165036,69.965752
Gervaisxyz,-82.798401,12.687647,58.971081
Tholomyesxyz,-77.050385,83.418526,-85.256676
Listolierxyz,-81.455093,102.393791,-94.873375
Fameuilxyz,-89.636421,96.740051,-96.602837
Blachevillexyz,-79.689789,93.810005,-94.945503
Favouritexyz,-79.328957,96.941177,-85.169563
Dahliaxyz,-87.285629,100.828598,-83.769455
Zephinexyz,-89.139305,90.857719,-86.862656
Fantinexyz,-65.171822,61.583393,-51.921749
MmeThenardierxyz,-6.889969,15.600800,-7.164695
Thenardierxyz,7.117990,14.108753,3.380542
Cosettexyz,-30.296833,-19.811596,3.307890
Javertxyz,-22.753834,6.197100,3.299423
Faucheleventxyz,-62.693260,17.916119,21.770050
Bamataboisxyz,-119.276924,12.706871,-6.903955
Perpetuexyz,-71.651077,80.766724,-32.391796
Simplicexyz,-59.781414,49.453815,-21.428717
Scaufflairexyz,-80.356026,-4.642862,65.979538
Woman1xyz,-47.440426,32.536530,17.458902
Judgexyz,-124.423988,1.553446,9.362328
Champmathieuxyz,-124.003975,-5.345311,4.205668
Brevetxyz,-140.471329,0.430532,2.242375
Chenildieuxyz,-137.850662,-0.456684,14.930743
Cochepaillexyz,-137.195099,-11.384930,7.713782
Pontmercyxyz,8.886113,-48.079720,-63.852150
Boulatruellexyz,48.918167,69.250710,-16.779518
Eponinexyz,35.050453,-11.884899,1.794220
Anzelmaxyz,36.155518,15.228396,-20.248089
Woman2xyz,-64.891136,-7.557210,1.746861
MotherInnocentxyz,-74.438652,26.119398,29.634432
Gribierxyz,-83.842918,37.209297,33.506187
Jondrettexyz,144.691040,-117.113380,110.947487
MmeBurgonxyz,105.936943,-100.406891,82.418343
Gavrochexyz,46.592049,-76.166489,39.065651
Gillenormandxyz,-24.716307,-50.202557,-6.314228
Magnonxyz,-10.203947,-21.985914,-56.542149
MlleGillenormandxyz,-30.567083,-55.722855,-14.593551
MmePontmercyxyz,-9.855750,-74.900032,-80.370331
MlleVauboisxyz,-56.746151,-101.611443,-50.290810
LtGillenormandxyz,-43.426033,-70.650322,-24.336067
Mariusxyz,-8.134081,-47.720455,9.603408
BaronessTxyz,-35.220936,-92.870689,-18.894260
Mabeufxyz,63.440037,-112.576981,15.371187
Enjolrasxyz,19.958097,-80.681396,28.836153
Combeferrexyz,29.713167,-92.747200,33.776730
Prouvairexyz,30.981117,-115.154350,48.841099
Feuillyxyz,27.804411,-108.628983,37.044388
Courfeyracxyz,28.266371,-91.406250,25.965559
Bahorelxyz,44.700455,-105.461708,36.701328
Bossuetxyz,21.467327,-99.124001,30.652454
Jolyxyz,34.052044,-111.328140,26.909307
Grantairexyz,34.488262,-134.115982,41.665482
MotherPlutarchxyz,84.199471,-130.073730,9.689003
Gueulemerxyz,37.813328,28.918623,14.525406
Babetxyz,31.956615,20.524448,10.776443
Claquesousxyz,32.117699,23.786732,26.285225
Montparnassexyz,52.259953,24.015894,32.821445
Toussaintxyz,-51.789959,-14.635090,-23.255863
Child1xyz,95.090584,-84.732765,64.656921
Child2xyz,91.464272,-85.288307,68.463066
Brujonxyz,56.412598,21.540739,12.004149
MmeHucheloupxyz,58.254654,-143.496964,50.261330
