label,x,y,z
BioWreck,-448.417603,-12.976413,358.962463
the_fire_berns,-509.307220,-8.770478,407.385284
CNNPolitics,1.845368,75.079041,135.692902
InfamousGrace_,-1026.152466,109.467590,466.353149
GlennHeiser,-981.619446,80.191719,434.555206
azblonde2015,1184.428467,258.264282,-857.279358
bobbyhochu,1162.760620,208.950241,-913.647461
Libertea2012,-825.466919,111.816444,407.216187
lindamama02,-798.848816,123.247055,428.941345
FoxNews,686.535889,-111.866631,-785.939148
NorskNN_Int,562.098816,-81.738136,-625.517944
huckabee4me,731.169617,-270.442139,-1522.579346
JohnsonDeborah,723.859558,-269.616150,-1537.019287
Bonfiredesigns,1288.504028,198.832458,-917.580505
babysgramma,1317.286743,219.820618,-951.656616
AidanKing_,-1024.282227,-164.458252,533.283569
jkrupkin26,-885.794861,-250.248779,500.867065
BernieSanders,-818.404846,-219.768509,585.933228
YugeMilo,1385.288818,2.969345,-850.706116
ofccadjust,1331.934814,72.999680,-827.600952
BerniesBros,-893.483887,-56.722088,476.288605
_feel_the_bern_,-587.099731,52.711025,478.211945
eelawl1966,-846.990173,85.364113,678.204529
IDreamIn4D,-930.281372,-39.884945,637.549438
elfudge35,-862.861206,-132.614761,552.682068
Iowa4Bernie,-823.648987,-6.703071,580.609192
rjber15,-849.693542,-85.997612,576.635986
angelninja59,-781.079285,-269.309082,555.699219
NoChristie16,192.871216,59.642933,61.003460
People4Bernie,-888.662781,-116.676704,405.785889
KAIJUKING23,-892.027527,36.021275,549.444641
ProGloCommons,-793.924011,-180.764114,778.875000
unetomaterouge,-799.970581,-140.164307,736.436279
Women4Bernie,-972.344299,-69.058945,441.433563
JenniSiri,-957.405579,-63.225304,396.878967
Bernie4All,-846.234680,-272.562439,520.664978
rafie281,-846.786804,-59.114548,446.320038
purpletaffy1,-957.174377,-191.860413,528.435364
llAdrianomegall,-1024.421387,-191.886688,591.903564
matthewshoreNY,-913.759521,-162.287827,504.281982
DanScavino,1198.011475,140.763870,-747.674744
chriskyleband,1293.075806,304.247345,-867.555420
cspan,181.752182,16.807745,-220.406250
GRForSanders,-962.374451,-182.359833,474.066528
pilgrimseoul,-1054.491943,-203.630875,595.560974
Ricky_Vaughn99,1030.173950,120.546021,-954.288574
biggixer,1048.755249,107.976723,-939.416992
ernieHHI,1119.156738,183.665817,-842.864014
JasonsGrandpa,1128.365112,191.347351,-660.683289
1PhoenixDragon,-945.716064,-128.544846,648.249573
Pasternak94,-978.124390,-218.599777,478.849731
SubyWill,-816.311890,-295.638275,593.249146
heatherwebb96,-793.435242,-254.162277,374.180206
Arphahat,-993.608154,-158.398315,446.800995
shadz6ty6,-973.988586,109.777054,691.963379
WoobieTuesday,-912.102051,31.536457,715.816040
bigdemilovato1,1053.309692,174.189835,-720.370361
juancplascencia,73.944710,80.882057,16.315937
_HankRearden,1256.077393,69.377846,-788.872559
iheartbernie,-868.490356,-100.460953,725.667480
cook_robert_l,-914.587402,148.219528,477.462311
OldsterLady,-1086.211670,-120.482834,583.396301
arizonasanders,-856.916016,33.734261,268.826965
jamesjohnrod,-873.717163,68.800797,248.260086
pennyrn2010,1082.973389,230.960281,-841.986023
jenilynn1001,1032.639160,132.991730,-847.454834
GMA,424.234131,209.248932,-8.023147
pressnews2016,579.027527,188.837189,-205.015472
nowin2613,-717.475952,305.699860,531.746155
KLSouth,1065.431274,231.070602,-673.477539
Lucky5713,1166.347046,300.698853,-808.418762
TrumpLouisiana,994.771973,231.314774,-783.075073
Averyatswanpond,-894.391418,166.766022,455.277039
fromtheflipside,-748.349792,-128.653397,371.030396
julimwilkins,1094.259033,181.697571,-794.117432
BerniesHomie,-856.872498,12.182363,383.545563
Illinois4Bernie,-920.703857,-161.604752,646.171814
4AmericaToday,990.678833,273.106476,-665.775024
nana_mo_Amelika,-881.086792,85.912849,448.239227
JSithavady,-826.973145,-175.349396,353.326111
mcicero10,1004.694031,42.109768,-748.201477
argmachinetv,976.663696,69.454269,-993.748108
carmic14,-752.507080,-6.268467,608.847595
ChristiChat,1187.292603,48.791901,-805.407043
concerningtimes,1089.448120,72.222534,-815.110413
kateloving,-681.767578,19.676027,661.691040
RF_burns_red,-795.539856,-266.630341,602.414124
donegalceline,1185.553833,249.448792,-940.593567
realDonaldTrump,1222.843262,82.605316,-631.663513
estera8763,1138.606689,29.530123,-665.331909
yachts210696,1472.979248,14.233193,-890.787537
YugeTrumpnado,1498.878174,1.439435,-870.125854
yesdog1942,1129.253662,234.252991,-814.760071
jmbse,261.192505,-114.777580,-1375.771118
BeccaKeating1,299.608246,-111.725151,-1367.090698
drzevetchin,1200.550903,294.986053,-911.408569
KekdzezezKeklel,1426.794312,-26.523907,-846.080322
AKBravesFan98,-914.048767,-254.806198,651.048706
curtismuddog,1376.157227,8.168504,-807.062134
BlkGirls4Bernie,-889.753113,1.289023,415.924500
angelacbrown821,1294.500244,97.032700,-760.184753
ND4Bernie,-964.782471,106.955872,447.297424
etara44,-1125.412842,28.174503,465.709534
bertonpaysonya1,1431.432495,-7.839105,-869.695007
jack_jdcagle,1324.184204,116.014008,-919.203186
darshiido22,-956.140564,-234.645615,473.710693
the_newtt,-949.209656,-239.928329,622.004395
bennyjohnson,-446.779114,101.402130,139.297028
mikesldy6969,-1013.648254,131.234100,543.092834
katz0081,-989.274353,175.756104,408.757477
CorrectRecord,467.214569,377.740631,671.968018
damonbethea1,413.107330,392.331848,661.905762
WayneEdH,406.162750,476.796783,783.743530
Plantflowes,419.160950,441.194580,766.863220
llarks,-1035.187622,-42.347397,301.704773
josechasin,-961.923645,-319.589874,529.991516
FrenchForTrump,1271.568604,166.769485,-1066.540405
philmonaco67,1172.033081,204.645111,-951.590149
AngrySenSanders,-959.786438,-12.190282,609.982239
IL9CD4Bernie,-908.307739,-5.889179,588.270386
JohnCzer1,-922.074890,-186.223083,585.411804
WayneDupreeShow,1175.080078,83.610245,-918.309021
KathyVanKlavere,1114.489380,176.257339,-954.809692
HouseCracka,1149.254028,17.795698,-879.401062
heavenlyitalian,1048.020752,19.500414,-865.972778
renomarky,926.409485,84.863708,-877.101990
TweetingYarnie,-785.418213,161.350952,546.255005
