source,target,weight
0,1,11.000000
8,10,7.000000
15,16,6.000000
17,18,6.000000
19,20,5.000000
27,28,5.000000
31,32,5.000000
35,1,5.000000
43,44,5.000000
46,15,4.000000
48,49,4.000000
50,51,4.000000
54,55,4.000000
59,60,4.000000
43,61,4.000000
62,63,4.000000
8,64,4.000000
66,67,4.000000
68,69,4.000000
11,70,4.000000
16,71,4.000000
72,73,4.000000
80,81,4.000000
8,83,4.000000
8,84,4.000000
85,19,4.000000
86,10,4.000000
89,90,4.000000
43,94,4.000000
102,103,4.000000
107,108,4.000000
111,112,3.000000
117,118,3.000000
8,120,3.000000
124,125,3.000000
129,130,3.000000
132,133,3.000000
105,134,3.000000
62,135,3.000000
136,137,3.000000
142,143,3.000000
144,145,3.000000
146,147,3.000000
140,149,3.000000
150,151,3.000000
8,152,3.000000
153,154,3.000000
155,156,3.000000
43,157,3.000000
132,162,3.000000
111,167,3.000000
168,169,3.000000
43,170,3.000000
171,172,3.000000
174,175,3.000000
179,51,3.000000
181,182,3.000000
142,187,3.000000
66,188,3.000000
189,190,3.000000
105,192,3.000000
50,19,3.000000
8,196,3.000000
199,149,3.000000
142,202,3.000000
203,204,3.000000
16,207,3.000000
199,212,3.000000
142,213,3.000000
214,175,3.000000
215,216,3.000000
218,219,3.000000
221,222,3.000000
225,226,3.000000
140,227,3.000000
230,51,3.000000
107,231,3.000000
4,233,3.000000
218,234,3.000000
11,235,3.000000
8,236,3.000000
239,240,3.000000
241,242,3.000000
105,246,3.000000
251,252,3.000000
43,254,3.000000
111,257,3.000000
13,258,3.000000
111,260,3.000000
263,264,3.000000
43,268,3.000000
8,269,3.000000
270,271,3.000000
218,196,3.000000
274,275,3.000000
11,276,3.000000
11,277,3.000000
105,278,3.000000
111,218,3.000000
284,275,3.000000
144,19,3.000000
286,287,3.000000
289,290,3.000000
292,293,3.000000
239,294,3.000000
16,295,3.000000
299,19,3.000000
11,301,3.000000
304,305,3.000000
66,10,3.000000
54,306,3.000000
307,175,3.000000
43,309,3.000000
284,172,3.000000
4,264,3.000000
313,314,3.000000
95,316,3.000000
142,319,3.000000
43,320,3.000000
322,49,3.000000
140,323,3.000000
327,328,3.000000
8,333,3.000000
8,334,3.000000
105,337,3.000000
43,338,3.000000
341,340,3.000000
322,345,3.000000
327,346,3.000000
175,356,3.000000
111,357,2.000000
361,51,2.000000
362,363,2.000000
366,367,2.000000
368,369,2.000000
8,370,2.000000
371,372,2.000000
375,376,2.000000
377,378,2.000000
16,379,2.000000
8,380,2.000000
218,382,2.000000
0,385,2.000000
8,387,2.000000
388,389,2.000000
13,393,2.000000
325,394,2.000000
292,395,2.000000
396,397,2.000000
8,399,2.000000
400,379,2.000000
142,401,2.000000
142,403,2.000000
111,404,2.000000
13,405,2.000000
327,49,2.000000
218,411,2.000000
142,412,2.000000
413,414,2.000000
415,416,2.000000
418,419,2.000000
251,218,2.000000
46,16,2.000000
428,429,2.000000
43,434,2.000000
43,437,2.000000
43,438,2.000000
142,442,2.000000
129,443,2.000000
444,445,2.000000
428,328,2.000000
446,447,2.000000
448,449,2.000000
142,455,2.000000
371,456,2.000000
458,459,2.000000
462,463,2.000000
16,467,2.000000
468,469,2.000000
218,470,2.000000
313,476,2.000000
482,483,2.000000
484,485,2.000000
43,495,2.000000
496,497,2.000000
498,154,2.000000
499,51,2.000000
458,507,2.000000
142,508,2.000000
313,510,2.000000
514,515,2.000000
31,516,2.000000
519,520,2.000000
524,525,2.000000
189,149,2.000000
536,537,2.000000
538,539,2.000000
327,207,2.000000
266,258,2.000000
105,546,2.000000
547,548,2.000000
435,549,2.000000
239,550,2.000000
551,340,2.000000
557,558,2.000000
559,560,2.000000
397,562,2.000000
85,51,2.000000
95,566,2.000000
574,575,2.000000
327,578,2.000000
435,581,2.000000
584,8,2.000000
591,19,2.000000
181,593,2.000000
111,278,2.000000
602,603,2.000000
155,606,2.000000
292,573,2.000000
43,607,2.000000
16,212,2.000000
105,609,2.000000
611,612,2.000000
105,613,2.000000
615,616,2.000000
524,618,2.000000
307,620,2.000000
621,622,2.000000
313,623,2.000000
625,626,2.000000
627,628,2.000000
557,629,2.000000
322,328,2.000000
625,154,2.000000
142,642,2.000000
218,644,2.000000
645,646,2.000000
458,647,2.000000
307,653,2.000000
654,655,2.000000
218,111,2.000000
662,28,2.000000
129,666,2.000000
39,668,2.000000
524,669,2.000000
679,680,2.000000
681,682,2.000000
284,515,2.000000
8,688,2.000000
313,691,2.000000
43,696,2.000000
697,698,2.000000
699,700,2.000000
218,702,2.000000
225,703,2.000000
709,710,2.000000
625,68,2.000000
105,711,2.000000
714,715,2.000000
140,154,2.000000
718,719,2.000000
11,724,2.000000
484,725,2.000000
105,726,2.000000
366,470,2.000000
737,738,2.000000
228,739,2.000000
458,747,2.000000
750,751,2.000000
496,516,2.000000
16,752,2.000000
754,136,2.000000
444,757,2.000000
62,758,2.000000
766,767,2.000000
221,768,2.000000
313,357,2.000000
239,770,2.000000
772,773,2.000000
304,172,2.000000
313,777,2.000000
239,778,2.000000
779,548,2.000000
780,781,2.000000
787,788,2.000000
54,680,2.000000
251,792,2.000000
11,796,2.000000
11,805,2.000000
171,806,2.000000
150,808,2.000000
810,367,2.000000
772,814,2.000000
293,815,2.000000
48,447,2.000000
484,821,2.000000
43,822,2.000000
826,827,2.000000
11,456,2.000000
625,829,2.000000
43,831,2.000000
107,834,2.000000
837,207,2.000000
843,844,2.000000
214,44,2.000000
853,44,2.000000
313,854,2.000000
858,859,2.000000
16,428,2.000000
444,871,2.000000
111,874,2.000000
875,876,2.000000
880,340,2.000000
174,881,2.000000
8,882,2.000000
883,884,2.000000
885,145,2.000000
313,891,2.000000
718,894,2.000000
898,899,2.000000
31,902,2.000000
192,370,2.000000
11,44,2.000000
699,290,2.000000
366,145,2.000000
905,382,2.000000
679,55,2.000000
907,738,2.000000
43,910,2.000000
105,470,2.000000
915,429,2.000000
917,918,2.000000
46,919,2.000000
192,921,2.000000
922,94,2.000000
925,926,2.000000
625,928,2.000000
932,71,2.000000
933,680,2.000000
940,68,2.000000
942,943,2.000000
105,944,2.000000
8,945,2.000000
514,284,2.000000
949,175,2.000000
951,952,2.000000
66,953,2.000000
307,606,2.000000
111,954,2.000000
8,967,2.000000
983,984,2.000000
557,986,2.000000
987,988,2.000000
274,305,2.000000
992,993,2.000000
779,32,2.000000
444,94,2.000000
1013,752,2.000000
142,323,2.000000
187,1015,2.000000
1017,750,2.000000
8,1018,2.000000
368,1020,2.000000
111,1021,2.000000
31,668,2.000000
17,1026,2.000000
1028,1029,2.000000
142,1031,2.000000
366,107,2.000000
8,1038,2.000000
11,1040,2.000000
1050,827,2.000000
625,467,2.000000
8,1053,2.000000
1054,1024,2.000000
212,226,2.000000
105,1055,2.000000
1059,442,2.000000
1064,773,2.000000
559,1068,2.000000
87,1071,2.000000
16,1076,2.000000
43,1083,2.000000
1084,1085,2.000000
559,1086,2.000000
1087,175,2.000000
242,1089,2.000000
43,1094,2.000000
266,1095,2.000000
242,1096,2.000000
1100,1101,2.000000
1104,1105,2.000000
142,1107,2.000000
266,697,2.000000
218,1114,2.000000
1026,1115,2.000000
214,1118,2.000000
368,1120,2.000000
105,1123,2.000000
1124,1125,2.000000
266,1126,2.000000
1132,606,2.000000
586,1133,2.000000
625,1138,2.000000
66,1141,2.000000
942,1142,2.000000
1145,1146,2.000000
8,1151,2.000000
327,1153,2.000000
1156,1157,2.000000
11,1163,2.000000
43,1164,2.000000
142,1165,2.000000
677,1166,2.000000
43,175,2.000000
681,616,2.000000
444,449,2.000000
1171,207,2.000000
313,1173,2.000000
1174,1175,2.000000
1017,1178,2.000000
1180,1181,2.000000
444,1184,2.000000
1185,831,2.000000
105,234,2.000000
524,1191,2.000000
764,54,2.000000
11,1194,2.000000
89,83,2.000000
1203,1204,2.000000
1206,1207,2.000000
1171,1208,2.000000
307,1212,2.000000
1213,1214,2.000000
142,1146,2.000000
142,1223,2.000000
1224,293,2.000000
313,1227,2.000000
140,1228,2.000000
214,157,2.000000
8,603,2.000000
230,340,2.000000
313,1244,2.000000
448,1251,2.000000
266,1252,2.000000
322,781,2.000000
883,1255,2.000000
1260,1261,2.000000
174,549,2.000000
16,902,2.000000
1268,1269,2.000000
883,240,2.000000
8,1278,2.000000
1285,276,2.000000
1294,725,2.000000
482,1297,2.000000
1301,1302,2.000000
129,1304,2.000000
43,1305,2.000000
95,1308,2.000000
458,1310,2.000000
105,1312,2.000000
307,1317,2.000000
932,715,2.000000
142,46,2.000000
16,1322,2.000000
1332,1333,2.000000
853,1334,2.000000
15,1335,2.000000
1337,1338,2.000000
627,1343,2.000000
54,933,2.000000
1344,942,2.000000
43,871,2.000000
1350,1351,2.000000
1358,548,2.000000
435,175,2.000000
1362,1363,2.000000
400,429,2.000000
1369,287,2.000000
754,1370,2.000000
221,1371,2.000000
105,1372,2.000000
1383,19,2.000000
95,1384,2.000000
559,1394,2.000000
43,243,2.000000
1396,328,2.000000
679,1397,2.000000
519,1419,2.000000
105,370,2.000000
1421,49,2.000000
714,1425,2.000000
105,1429,2.000000
62,642,2.000000
136,1433,2.000000
482,1435,2.000000
1436,51,2.000000
105,1437,2.000000
43,133,2.000000
1438,1439,2.000000
105,1441,2.000000
31,1443,2.000000
43,1444,2.000000
1445,44,2.000000
136,1447,2.000000
205,1454,2.000000
111,702,2.000000
444,372,2.000000
718,770,2.000000
43,1461,2.000000
1462,444,2.000000
907,1467,2.000000
266,772,2.000000
140,1470,2.000000
187,1165,2.000000
150,363,2.000000
1476,1477,2.000000
1481,1482,2.000000
142,1483,2.000000
111,1486,2.000000
105,1487,2.000000
111,1488,2.000000
129,1495,2.000000
8,1496,2.000000
19,66,2.000000
377,1497,2.000000
779,207,2.000000
413,1500,2.000000
479,1502,2.000000
1132,871,2.000000
105,107,2.000000
8,1514,2.000000
221,1515,2.000000
307,1445,2.000000
142,1516,2.000000
1517,19,2.000000
221,1115,2.000000
1520,260,2.000000
413,1525,2.000000
444,1528,2.000000
305,274,2.000000
284,628,2.000000
111,1531,2.000000
8,1384,2.000000
43,1532,2.000000
1533,340,2.000000
907,1537,2.000000
400,1538,2.000000
8,1541,2.000000
1542,1543,2.000000
212,1546,2.000000
451,1551,2.000000
942,519,2.000000
397,1322,2.000000
458,1538,2.000000
266,1566,2.000000
8,1568,2.000000
903,1569,2.000000
266,1570,2.000000
266,1574,2.000000
62,1584,2.000000
111,1586,2.000000
1447,751,2.000000
371,277,2.000000
313,1596,2.000000
150,1598,2.000000
111,1055,2.000000
397,1228,2.000000
514,1343,2.000000
1036,1602,2.000000
171,305,2.000000
551,19,2.000000
242,1603,2.000000
16,49,2.000000
1126,1607,2.000000
559,64,2.000000
557,94,2.000000
266,1613,2.000000
627,284,2.000000
25,1621,2.000000
325,260,2.000000
142,1628,2.000000
85,340,2.000000
1633,1634,2.000000
11,1635,2.000000
1637,1638,2.000000
1481,54,2.000000
8,1646,2.000000
1648,1649,2.000000
682,204,2.000000
1651,1652,2.000000
142,1654,2.000000
307,1656,2.000000
218,1486,2.000000
1659,1660,2.000000
263,28,2.000000
1438,1662,2.000000
8,1173,2.000000
251,1669,2.000000
779,328,2.000000
8,1679,2.000000
1682,1683,2.000000
435,1462,2.000000
458,715,2.000000
940,154,2.000000
11,1688,2.000000
126,1689,2.000000
174,1683,2.000000
27,1700,2.000000
313,688,2.000000
625,1704,2.000000
574,876,2.000000
73,72,2.000000
1707,1708,2.000000
89,1713,2.000000
192,810,2.000000
586,434,2.000000
111,1714,2.000000
709,1716,2.000000
1142,1603,2.000000
11,549,2.000000
16,1724,2.000000
1726,1727,2.000000
1295,401,2.000000
187,1733,2.000000
46,548,2.000000
368,1737,2.000000
142,1738,2.000000
270,94,2.000000
31,447,2.000000
16,1745,2.000000
270,1746,2.000000
307,1747,2.000000
218,1748,2.000000
1749,1750,2.000000
307,1752,2.000000
1755,1756,2.000000
218,404,2.000000
117,1760,2.000000
1764,1765,2.000000
479,1766,2.000000
514,984,2.000000
388,1771,2.000000
1783,1784,1.000000
111,1790,1.000000
1794,1795,1.000000
1806,1807,1.000000
1810,328,1.000000
1813,442,1.000000
107,874,1.000000
448,1831,1.000000
388,1834,1.000000
1839,16,1.000000
107,1429,1.000000
132,60,1.000000
1850,1851,1.000000
1857,94,1.000000
1861,1862,1.000000
413,1871,1.000000
243,1876,1.000000
1100,1885,1.000000
1894,1351,1.000000
940,1370,1.000000
1917,1918,1.000000
1059,1936,1.000000
1941,1942,1.000000
559,8,1.000000
502,1957,1.000000
263,525,1.000000
111,1975,1.000000
124,1582,1.000000
1990,1991,1.000000
1996,1997,1.000000
2025,2026,1.000000
174,435,1.000000
1922,64,1.000000
519,216,1.000000
132,696,1.000000
2058,2059,1.000000
444,1085,1.000000
586,2063,1.000000
2066,2067,1.000000
2076,1370,1.000000
2091,2092,1.000000
111,2100,1.000000
2111,821,1.000000
915,2114,1.000000
2118,2119,1.000000
631,258,1.000000
548,1071,1.000000
2131,2132,1.000000
502,2135,1.000000
2136,2137,1.000000
772,2138,1.000000
43,2169,1.000000
129,871,1.000000
1360,2182,1.000000
918,510,1.000000
111,1372,1.000000
446,2203,1.000000
715,225,1.000000
2215,2216,1.000000
810,2227,1.000000
2211,2256,1.000000
95,710,1.000000
174,2266,1.000000
1656,2277,1.000000
142,2283,1.000000
2286,2287,1.000000
2302,2303,1.000000
779,149,1.000000
2332,2333,1.000000
2339,2340,1.000000
2342,2343,1.000000
915,212,1.000000
2355,2356,1.000000
16,2359,1.000000
203,2360,1.000000
2375,2376,1.000000
2378,2379,1.000000
2381,218,1.000000
2384,63,1.000000
8,2390,1.000000
2391,111,1.000000
2395,2396,1.000000
1462,130,1.000000
2405,2406,1.000000
2450,156,1.000000
208,2472,1.000000
2478,953,1.000000
192,2484,1.000000
907,2485,1.000000
230,2489,1.000000
