id,label,degree,community,followersCount,klout_score,pageranks,eigencentrality,x,y,z
0,the_fire_berns,6,0,620.0,47.0,0.000116676803296,0.0,-46.569878,266.804535,543.268433
1,BioWreck,5,0,0.0,0.0,0.000181145751145,0.00756930102722,-31.141685,269.229095,476.000031
5,CNNPolitics,37,7,0.0,0.0,0.000937152236999,0.0670956760816,-80.549286,122.59668,0.596739
8,GlennHeiser,58,1,1450.0,62.0,0.00189265899827,0.131008913963,-214.522827,517.426819,993.879456
9,InfamousGrace_,21,1,445.0,51.0,0.000475450572987,0.0388676930663,-264.683441,538.090027,1042.04834
11,azblonde2015,183,6,9115.0,65.0,0.00542340526658,0.331901346067,120.72728,-575.136047,-1309.41394
14,bobbyhochu,19,6,412.0,47.0,0.000116676803296,0.0,198.572891,-573.810913,-1265.18335
15,lindamama02,8,1,310.0,48.0,0.000116676803296,0.0,-178.557129,392.561584,835.570984
16,Libertea2012,134,1,37882.0,70.0,0.00324065993643,0.286589084954,-175.896515,418.330811,855.220886
17,NorskNN_Int,3,3,177.0,47.0,0.000116676803296,0.0,108.929825,68.929741,-1027.165527
18,FoxNews,48,3,7909353.0,95.0,0.00210366068638,0.0821885709669,140.49144,61.998039,-1235.338867
19,JohnsonDeborah,9,2,402.0,50.0,0.000239642468271,0.0053131643031,63.894535,268.160095,-2300.077881
20,huckabee4me,10,2,0.0,0.0,0.000413214037109,0.0185189377197,69.354065,259.826782,-2282.886475
22,babysgramma,3,6,491.0,58.0,0.000116676803296,0.0,196.998428,-663.298523,-1423.969604
23,Bonfiredesigns,34,6,2398.0,63.0,0.00104409083691,0.0636210725365,187.605011,-630.341614,-1374.839966
24,jkrupkin26,29,1,22.0,20.0,0.00052243592423,0.0531546696827,140.485809,477.899414,994.69751
25,AidanKing_,69,1,4435.0,56.0,0.00185210723023,0.173286613228,21.474548,569.829773,1102.680054
27,BernieSanders,446,1,1266406.0,83.0,0.0189726657813,1.0,113.946938,363.541351,1033.023193
28,ofccadjust,12,6,3494.0,62.0,0.000305841010026,0.00915352216847,309.774048,-704.49292,-1204.044434
29,YugeMilo,88,6,27694.0,63.0,0.00312025524458,0.15104486357,383.3526,-696.695679,-1222.884277
30,BerniesBros,65,1,147.0,45.0,0.000655757801809,0.0513342901035,-31.498665,427.598816,1045.413086
31,_feel_the_bern_,6,0,0.0,0.0,0.000249175908963,0.0124553414967,-157.956833,317.832489,606.087158
32,IDreamIn4D,11,1,731.0,37.0,0.000116676803296,0.0,-114.81633,504.98465,1102.48291
33,eelawl1966,40,1,3757.0,62.0,0.000793175603444,0.0683680086163,-222.776276,430.323578,1017.407532
34,elfudge35,9,1,298.0,46.0,0.000116676803296,0.0,44.865005,385.832703,1011.509216
35,rjber15,8,1,92.0,33.0,0.000116676803296,0.0,-54.329899,447.61795,1101.321045
36,Iowa4Bernie,130,1,6031.0,64.0,0.00415715097329,0.322841077089,-142.150818,417.994629,1051.756226
37,angelninja59,4,1,38.0,33.0,0.000116676803296,0.0,184.398682,353.774658,995.841187
39,NoChristie16,3,7,0.0,0.0,0.000563463804907,0.00581576245971,-379.189484,732.555542,-686.421631
40,KAIJUKING23,48,1,1551.0,58.0,0.000116676803296,0.0,-79.982895,456.300812,930.927185
41,People4Bernie,263,1,28830.0,82.0,0.0122209357621,0.648128845491,55.737366,380.735931,949.283691
42,unetomaterouge,13,1,1102.0,54.0,0.000147082413087,0.00377432974362,49.922394,232.801498,1089.141968
43,ProGloCommons,14,1,1358.0,50.0,0.000191031235212,0.00661231790786,107.943336,219.562836,1128.99707
44,JenniSiri,5,1,3110.0,53.0,0.000223852784238,0.006883555495,-65.283478,385.145721,1154.637573
45,Women4Bernie,127,1,19438.0,67.0,0.00424360541553,0.293172064201,-51.120647,362.135284,1141.539795
46,Bernie4All,3,1,574.0,43.0,0.000124262546541,0.00160449531051,168.0802,382.089966,1079.781128
48,rafie281,32,1,471.0,52.0,0.000116676803296,0.0,9.824637,458.606232,927.583618
