id,label,degree,community,followersCount,klout_score,pageranks,eigencentrality,x,y,z
0,BioWreck,5,0,0.0,0.0,0.000217895593822,0.0,-452.552979,-15.694315,-175.331711
1,the_fire_berns,3,0,620.0,47.0,0.000298612440763,0.00991541407815,-463.626648,-20.46439,-229.543915
4,CNNPolitics,28,3,0.0,0.0,0.000217895593822,0.0,-66.33194,-78.205788,-402.6492
8,azblonde2015,129,5,9115.0,65.0,0.000689483154343,0.0446202186467,-47.512577,14.873389,1182.004272
10,bobbyhochu,12,5,412.0,47.0,0.000756727160914,0.159662234067,-153.151764,43.927193,1130.081177
11,Libertea2012,78,3,37882.0,70.0,0.000227948393406,0.00610837969635,-571.982483,-294.27066,-531.170837
13,FoxNews,35,8,7909353.0,95.0,0.000238474730074,0.00230134531456,-111.150101,448.332031,775.899658
15,FreddyLawrence1,31,1,479.0,50.0,0.00045281568763,0.015653964826,1156.103882,-199.173996,-608.744995
16,stylistkavin,70,1,3319.0,62.0,0.00146045178041,0.658097651629,1144.638306,-212.703674,-570.160034
17,huckabee4me,10,2,0.0,0.0,0.000217895593822,0.0,191.95372,725.983215,1088.4198
18,JohnsonDeborah,9,2,402.0,50.0,0.000597533186267,0.0364645268641,204.426239,734.367126,1084.529419
19,YugeMilo,56,5,27694.0,63.0,0.00151957570962,0.103480661799,-242.436661,-168.126221,1204.957642
20,ofccadjust,6,5,3494.0,62.0,0.000338117665231,0.0653986186816,-268.91507,-109.965508,1033.550293
25,Drudge_Report_,4,5,0.0,0.0,0.000217895593822,0.0,87.929871,212.7444,974.024353
27,JeanetteJing,30,3,7407.0,67.0,0.000221457367404,0.00230134531456,-426.146088,-84.955429,-504.041718
28,DrdaveAnddee,7,3,3766.0,47.0,0.000328485507582,0.0229883146285,-424.470612,-115.667488,-426.167633
31,TAW3333,31,1,1826.0,46.0,0.00024807505978,0.00671152635872,1103.456299,-211.027191,-443.377747
32,sheenA_8886,25,1,1977.0,59.0,0.000958098181476,0.418152919302,1137.352051,-191.59758,-517.55603
35,_feel_the_bern_,6,0,0.0,0.0,0.000217895593822,0.0,-488.706421,-44.916714,-303.034851
39,NoChristie16,4,1,0.0,0.0,0.000217895593822,0.0,681.700867,-49.932938,-253.617599
41,cspan,7,7,0.0,0.0,0.000217895593822,0.0,-360.233154,26.104048,273.732819
43,People4Bernie,143,3,28830.0,82.0,0.000339147394037,0.017788968239,-594.493774,-174.226807,-645.382629
44,rafie281,19,3,471.0,52.0,0.000509646814521,0.177932873905,-540.738098,-175.578186,-631.298035
46,AdamSmith_USA,48,1,12607.0,63.0,0.00023024500223,0.0102091360294,1119.091431,-141.387665,-606.5896
48,dollyp724,23,1,1111.0,49.0,0.000254824418956,0.0109191688493,1120.062744,-190.110901,-651.321167
49,ljreynolds13,31,1,170.0,42.0,0.00141224743733,0.834002936174,1058.164917,-148.625427,-581.128418
50,yachts210696,3,5,0.0,0.0,0.000217895593822,0.0,-257.0448,-209.994888,1255.302612
51,YugeTrumpnado,18,5,2763.0,54.0,0.00107704038765,0.102698435884,-257.032227,-246.893204,1283.512695
54,jmbse,9,7,1020.0,53.0,0.000402973548989,0.0154429839851,272.848358,562.634033,958.071655
55,BeccaKeating1,5,7,504.0,44.0,0.000699370895143,0.0302210088313,251.552689,554.45874,958.561157
59,shadz6ty6,8,3,363.0,50.0,0.000221645451983,0.0080881196612,-687.779419,-52.606956,-605.637695
60,WoobieTuesday,8,3,2025.0,56.0,0.000586062552769,0.0660046887502,-629.538574,-20.673595,-557.970581
61,JSithavady,11,3,208.0,46.0,0.000410421121859,0.0694734123303,-553.038635,-147.260071,-631.764893
62,laureldavilacpa,50,1,44089.0,63.0,0.000455090126074,0.101887399935,1018.918396,-189.518066,-711.005432
63,ZubinF,16,1,333.0,43.0,0.000585032406147,0.122390340548,995.601135,-128.942078,-671.912048
64,drzevetchin,4,5,691.0,50.0,0.00040217567709,0.0333064951428,-28.876022,91.211151,1112.164551
66,Ricky_Vaughn99,36,5,14217.0,78.0,0.000342907156855,0.0550776678243,-238.559891,-66.943886,1091.453491
67,biggixer,4,5,79.0,36.0,0.00046429432977,0.0493769235636,-261.311432,-59.441124,1119.501831
68,HunterHRC2016,14,1,1788.0,63.0,0.00056953160022,0.190940533662,979.921753,-253.970703,-482.754181
69,OHenryHernandez,7,1,607.0,55.0,0.000418157701291,0.199409181568,1031.291138,-258.335907,-419.243408
70,Averyatswanpond,4,3,423.0,41.0,0.000319599050308,0.0127003672692,-619.649902,-313.619598,-468.052002
71,xdelmar59,31,1,60.0,41.0,0.00204977426223,0.66045486381,999.348999,-202.750046,-629.540649
72,ProGloCommons,7,3,1358.0,50.0,0.00075192785515,0.0661173174347,-534.656128,-12.882154,-576.532104
73,unetomaterouge,7,3,1102.0,54.0,0.000909715389994,0.0484249611898,-554.967468,-50.002079,-578.707336
76,GMA,24,5,2922208.0,94.0,0.000315456506954,0.00441018104416,253.870209,-118.571144,26.388113
80,Samstwitch,13,5,2913.0,61.0,0.000233132025063,0.0214144530068,-140.315308,24.192987,1337.801392
81,Scrufey21,3,5,3150.0,43.0,0.000367837561602,0.0647030569651,-136.560089,15.170698,1359.30188
83,yesdog1942,7,5,443.0,44.0,0.000288325605715,0.0421991803873,-70.250008,43.841393,1189.998535
84,pennyrn2010,7,5,581.0,48.0,0.000373652237174,0.109587005836,-79.107697,45.697891,1117.162109
85,KekdzezezKeklel,6,5,0.0,0.0,0.000217895593822,0.0,-229.968262,-207.021194,1222.180664
86,JohnFromCranber,19,5,100661.0,66.0,0.000217895593822,0.0,-206.342407,241.429138,1012.51825
87,voteforclintons,9,1,0.0,0.0,0.000217895593822,0.0,977.612305,-340.08905,-669.513611
89,KLSouth,32,5,39417.0,61.0,0.000217895593822,0.0,-38.265636,-35.7435,1074.145386
90,Lucky5713,4,5,2250.0,59.0,0.000246691539532,0.0363339551598,-63.034061,-46.36116,1129.229248
93,kateloving,9,3,8028.0,59.0,0.000376387106353,0.0267953490103,-354.347229,-154.076035,-614.076538
94,KAIJUKING23,30,3,1551.0,58.0,0.00186990457161,0.216432100926,-616.14093,-262.658234,-692.18927
95,_HankRearden,52,5,15937.0,68.0,0.000217895593822,0.0,-135.681747,-110.75206,1199.433716
99,nowin2613,5,3,1667.0,54.0,0.000401858863762,0.0140578521843,-520.005066,26.968935,-502.066681
102,HillaryforNH,11,1,0.0,0.0,0.000217895593822,0.0,1029.360718,-88.677567,-556.864075
103,GailCroceSturm,3,1,672.0,50.0,0.000254907972155,0.00690403594368,1017.133362,-61.354832,-538.651367
105,DanScavino,130,5,48610.0,80.0,0.000217895593822,0.0,-84.524475,-1.882473,1305.845215
107,jenilynn1001,47,5,5447.0,63.0,0.000279145933496,0.081101929841,-132.873856,-13.177019,1198.708252
108,julimwilkins,4,5,378.0,49.0,0.000249833270284,0.0594851290543,-123.020912,-18.877754,1259.386597
111,LindaSuhler,104,5,194467.0,78.0,0.000390916256477,0.106970560779,-119.605171,70.058838,1195.069092
112,SmtStrgW4Trump,4,5,664.0,45.0,0.000277021626178,0.0725389328524,-141.694748,80.678474,1261.934937
117,Bernie_Facts,33,3,5907.0,63.0,0.000308723630321,0.0403613656342,-701.775696,-209.299301,-722.209167
118,Arphahat,4,3,121.0,37.0,0.000352034851401,0.0481802001915,-680.433167,-170.611496,-741.72821
120,KathyVanKlavere,4,5,692.0,51.0,0.000293949971418,0.0368566232402,-74.781982,57.566429,1145.575073
124,RockMetalKittyX,22,5,846.0,49.0,0.000217895593822,0.0,-21.100464,63.973301,1312.876465
125,suzost,10,5,6333.0,47.0,0.00041218511875,0.0602597250266,-18.115038,6.590646,1172.78894
126,NadelParis,5,4,295486.0,64.0,0.000219549274414,0.00230134531456,530.319763,19.189335,86.901466
129,Women4Bernie,74,3,19438.0,67.0,0.000252995967288,0.0228153569833,-707.682434,-132.7229,-684.592163
130,BlkGirls4Bernie,31,3,659.0,49.0,0.00266020751045,0.393480501741,-604.414063,-213.279953,-715.704407
132,RoseAnnDeMoro,36,3,2064.0,62.0,0.000219984557282,0.0116302357602,-643.159607,-174.457504,-598.346985
133,ArrogantArahant,6,3,33.0,23.0,0.000311546670859,0.0482567792002,-591.043091,-193.583923,-709.487122
134,bigdemilovato1,6,5,1958.0,44.0,0.00036858069144,0.0168239670428,-146.125595,-98.162544,1288.363647
135,KevinDarryl,8,1,1785.0,60.0,0.000360359211429,0.13240905699,1037.683838,-181.869446,-697.542847
136,nhdogmom,34,1,10863.0,65.0,0.000543931211951,0.0400264869034,1073.569336,-207.845383,-659.330566
137,maureen_grogan,3,1,176.0,46.0,0.000764197259625,0.254722054783,1165.466919,-224.617432,-647.557617
140,CorrectRecord,27,1,0.0,0.0,0.000217895593822,0.0,936.578613,-164.078506,-560.639404
142,HillaryClinton,112,1,5263928.0,93.0,0.000217895593822,0.0,937.047546,-79.590446,-512.681152
143,PaulBrandfass,5,1,1702.0,50.0,0.000228368904236,0.00460269062912,922.72937,-113.135506,-539.592346
144,bertonpaysonya1,5,5,18.0,0.0,0.000217895593822,0.0,-223.750198,-209.879837,1260.883179
145,curtismuddog,8,5,1197.0,57.0,0.000497419267233,0.0184107625165,-178.91684,-212.557892,1277.358276
146,artist4ever,10,1,0.0,0.0,0.000217895593822,0.0,1213.365479,-230.822067,-510.333038
147,AuntChasie,5,1,1068.0,55.0,0.000311993365084,0.0175180948749,1213.804199,-201.444962,-475.80835
149,damonbethea1,51,1,3278.0,61.0,0.000992056066057,0.29495605728,1023.602844,-164.998108,-534.090027
150,DefendingtheUSA,60,5,8177.0,67.0,0.000275233458798,0.0550776678243,-23.16856,66.885086,1113.723145
151,bobledford1961,4,5,85.0,41.0,0.000329654600823,0.0291243821158,41.825592,124.849236,1171.902954
152,usfortrump,5,5,1111.0,48.0,0.000251606303629,0.0583737638793,-80.639511,-27.529072,1279.893433
153,ShirlsAdams,7,1,0.0,0.0,0.000217895593822,0.0,1001.263367,-212.416168,-413.314758
154,LoriSums,30,1,716.0,58.0,0.0016476701803,0.578145386508,950.484192,-190.126038,-452.860352
155,eelawl1966,26,3,3757.0,62.0,0.000236646415881,0.00571880723817,-633.008057,-276.298737,-783.291687
156,IDreamIn4D,9,3,731.0,37.0,0.00036650814845,0.0464479886571,-631.256042,-267.278961,-738.99646
157,JamesSheaiv,14,3,211.0,49.0,0.000515557559618,0.0807649916426,-608.283447,-87.19371,-656.103455
162,donald_nielsen,3,3,519.0,46.0,0.000238556512366,0.0205140116687,-685.275391,-164.699295,-605.309265
167,grannycoo,3,5,135.0,44.0,0.000233630507471,0.0604536268007,-124.362701,11.009793,1160.68335
168,desmoinesdem,4,1,0.0,0.0,0.000217895593822,0.0,718.478882,-43.612541,-427.98349
169,lltwing,3,1,392.0,42.0,0.000387673467896,0.00690403594368,631.355103,-47.208561,-465.00885
170,SeanPolit,6,3,153.0,44.0,0.000375554284406,0.118588831789,-648.218079,-107.796661,-736.320984
171,BlueCollarUS,7,0,1140.0,47.0,0.000217895593822,0.0,478.958313,906.396973,321.74353
172,ParisGirl3,8,0,432.0,50.0,0.000997473093577,0.147537605951,490.559235,920.357239,307.833862
174,LaborForBernie,56,3,2927.0,63.0,0.000316334062824,0.00715381624063,-630.107056,-271.640564,-591.603455
175,BerniesBros,43,3,147.0,45.0,0.00102741165608,0.162822574665,-613.992615,-122.865097,-699.051331
179,frairemalissia1,4,5,4.0,0.0,0.000217895593822,0.0,-269.330719,-280.491577,1299.080688
181,DrJasonJohnson,4,8,6997.0,62.0,0.000217895593822,0.0,-125.39547,-26.660194,-495.743439
182,PMorris153,6,8,657.0,53.0,0.000446103607396,0.0553847753861,-100.332207,-89.505882,-557.881897
187,Donna_West,31,1,21758.0,63.0,0.000568094744077,0.251571392536,1005.766663,-145.352524,-463.854218
188,josepharmagh,6,5,448.0,50.0,0.000590118175154,0.0659695786062,-214.512451,-37.004478,1137.663086
189,mitchellreports,7,1,293901.0,84.0,0.000217895593822,0.0,816.935059,-173.369629,-642.748352
190,DaBearded0ne,4,1,515.0,53.0,0.000309883954907,0.0487205135778,886.246033,-199.722427,-689.693542
192,nepafortrump,55,5,4413.0,62.0,0.000219320303255,0.00230134531456,-187.958908,-39.114529,1237.557495
196,FoxNewsJunkie01,7,5,295.0,24.0,0.000314769851039,0.0975528096017,6.302094,35.556103,1121.409546
199,HillaryIn2016,16,1,3133.0,60.0,0.000225470810455,0.00954558512961,1126.822632,-141.343857,-536.523682
202,Gift2USA,10,1,1784.0,45.0,0.000546511110514,0.0662379184805,891.900818,-162.62207,-651.004761
203,brucereddenjr,22,4,0.0,0.0,0.000217895593822,0.0,-332.936829,742.472778,969.0896
204,Dollie_VAL,5,4,1434.0,52.0,0.000644521645176,0.0212824025643,-366.602753,803.811584,996.285156
205,day_mondayweb,3,10,0.0,0.0,0.000217895593822,0.0,-2264.912842,-1298.840942,1674.432373
207,GetBZLiving,18,1,2499.0,59.0,0.00118342077326,0.820718808248,1062.628174,-276.544342,-527.649048
208,bennyjohnson,8,3,20333.0,68.0,0.000217895593822,0.0,-511.534515,80.97834,-276.66095
212,georgefayner,27,1,536.0,51.0,0.000681094425041,0.485311318858,1096.836914,-240.815094,-568.092712
213,hrc4potus,4,1,347.0,39.0,0.000339937221484,0.00920538125823,964.247253,-17.775013,-569.193848
214,Bernlennials,53,3,12566.0,65.0,0.000224990293127,0.0139315810748,-535.080505,-78.546555,-611.62561
215,SMolloyDVM,31,4,29086.0,69.0,0.000352352902056,0.0765963633022,-272.248871,693.069946,1100.839722
216,PatriotBrother,4,4,12344.0,67.0,0.000292716658702,0.0975466404186,-250.798676,630.543152,1138.273315
218,ChristiChat,67,5,129695.0,70.0,0.000312102506838,0.130417551228,-52.284233,101.116707,1239.801392
219,clark7950,5,5,3382.0,55.0,0.000271923633368,0.0676664168529,-52.955658,66.724678,996.967957
221,GovMikeHuckabee,15,2,0.0,0.0,0.000217895593822,0.0,90.693489,694.832581,1077.994873
222,MatthewTwihard,4,2,2903.0,43.0,0.000320276796673,0.00920538125823,-50.395523,774.217102,1084.904419
225,igggie1,29,1,678.0,57.0,0.000913075997535,0.618638174673,1138.595459,-298.281555,-539.281006
226,NewJerseyB,26,1,200.0,46.0,0.00124718115574,1.0,1118.180908,-270.507568,-513.434998
227,MDforHRC,4,1,535.0,46.0,0.000260498016237,0.00690403594368,988.343628,-135.591232,-569.757996
228,TheSolarSpirit,9,3,1052.0,57.0,0.000219984557282,0.0116302357602,-758.238647,-86.708481,-623.619751
230,Jessispaul53S,4,5,0.0,0.0,0.000217895593822,0.0,-226.138458,-212.444702,1296.328613
231,TrumpLouisiana,12,5,2154.0,52.0,0.000724406443339,0.115905287914,0.102208,7.30333,1011.987671
233,res0xhdb2,4,3,1071.0,45.0,0.000261439827157,0.00920538125823,17.617092,-77.301743,-520.51709
234,concerningtimes,5,5,288.0,46.0,0.000248865861878,0.0902426224503,-95.63401,99.002518,1300.365234
235,mjc5549,14,3,183.0,42.0,0.000861076686683,0.0997190733979,-598.571472,-261.796143,-582.010742
236,tullyframe,6,5,3935.0,57.0,0.000600435453439,0.0506458977303,-33.805706,5.773161,1266.696655
237,democracynow,8,3,0.0,0.0,0.000217895593822,0.0,-544.815918,-111.450188,-758.605835
239,iowacruzgirl,31,4,0.0,0.0,0.000217895593822,0.0,-356.578705,703.651672,948.084045
240,CruzinAhead,17,4,3227.0,61.0,0.000593460766961,0.0745536804702,-382.842651,744.574463,946.90033
241,DarleneHBrook,22,4,4865.0,61.0,0.00054627295803,0.0558727931089,-355.285065,686.734619,1088.21167
242,tgradous,20,4,26075.0,67.0,0.00034636963414,0.0971628408545,-336.451691,634.570007,1082.645386
243,MAHAMOSA,41,3,74619.0,65.0,0.000239597613074,0.0192443045238,-522.461914,-250.433899,-613.453979
246,GuilloJavier27,3,5,640.0,44.0,0.000285162097864,0.025317347734,-22.068197,45.149479,1278.741211
250,burberryant,6,3,3191.0,59.0,0.000551948068832,0.0854313220869,-449.233765,-110.452515,-516.859497
251,WayneDupreeShow,39,5,97151.0,81.0,0.000217895593822,0.0,-11.067287,17.776218,1247.76416
252,winegirl73,8,5,5349.0,60.0,0.000332328122851,0.0805723622857,-109.025482,150.972305,1152.085571
254,kujo71,15,3,2770.0,56.0,0.000654539307523,0.136672145482,-657.479919,-190.612518,-565.855896
255,politico,5,3,1340853.0,91.0,0.000217895593822,0.0,-457.474762,-32.82336,-243.163696
257,chrishradil,3,5,1911.0,54.0,0.000246583576589,0.081494675085,-117.181168,111.42337,1220.474976
258,olotupaul2,3,8,159.0,36.0,0.000249603790665,0.00991541407815,-114.388557,538.702637,738.279907
260,jjadamsny888,11,5,644.0,52.0,0.000325604278192,0.114620849383,-159.093857,55.787655,1264.937988
263,CNN,17,3,22855606.0,99.0,0.000217895593822,0.0,-249.112305,-104.971428,-288.875061
264,juancplascencia,4,3,215.0,40.0,0.000328011266159,0.00920538125823,-170.681015,-103.012604,-206.655502
