id,label,degree,community,followersCount,klout_score,pageranks,eigencentrality,x,y,z
0,WorldOfStu,114,1,0.0,0.0,0.000163376872339,0.0,-352.457458,864.669128,41.878719
4,realDonaldTrump,289,0,0.0,0.0,0.000163376872339,0.0,236.936569,-339.578125,9.243373
5,estera8763,10,0,3320.0,59.0,0.000171835714866,0.0285409697157,254.28949,-272.538269,71.24482
6,StatesPoll,67,0,11912.0,61.0,0.000227539788178,0.0356208175561,418.407135,-189.198517,-115.958649
7,woitekj,22,0,1284.0,54.0,0.000780606237301,0.561710210238,339.976196,-95.062294,-153.940552
9,Tab1791,8,1,2765.0,52.0,0.000264821770806,0.0221660906899,-363.866302,873.735962,13.14412
12,dahart66,7,1,699.0,52.0,0.000318370205002,0.0262831658423,-326.259583,829.315002,20.348904
13,fitzflyer83,9,1,806.0,49.0,0.000593657130438,0.0935534850568,-497.534088,960.468018,-126.513924
14,Suzie4Cruz,4,1,577.0,47.0,0.000724966303824,0.0660452140385,-482.105591,964.554199,-127.829605
16,John4Cruz,4,2,69.0,43.0,0.000607261716102,0.00833285268792,-635.94397,1105.230225,-192.215149
17,John_TX,3,2,81.0,42.0,0.000467755172119,0.00833285268792,-644.617493,1113.699707,-196.916351
20,InfamousGrace_,10,7,445.0,51.0,0.000172351410859,0.00365401522615,-1174.504517,-283.149628,1379.785767
21,GlennHeiser,34,7,1450.0,62.0,0.000358265958075,0.0363229367004,-1127.329834,-268.620178,1330.150879
22,truestormlover,10,1,3900.0,59.0,0.000364411489731,0.151792247563,-328.416809,899.733887,-9.404897
23,Drudge_Report_,4,1,0.0,0.0,0.000163376872339,0.0,219.991531,601.800537,-1.287171
25,jstines3,80,1,96254.0,71.0,0.000168499926809,0.00869407444775,-216.779953,716.562195,-85.437637
26,BritluverL,3,1,190.0,42.0,0.000176397980797,0.0149843665227,-252.326233,699.688477,-14.646349
29,DanScavino,335,0,48610.0,80.0,0.000164798090948,0.00365401522615,197.639206,-335.71579,-110.904434
32,azblonde2015,234,3,9115.0,65.0,0.00119517092724,0.360417269389,380.341217,-117.69899,-98.8993
33,bobbyhochu,31,3,412.0,47.0,0.000781326618716,0.704044783259,211.785828,-144.235992,-182.270477
34,KLSouth,70,3,39417.0,61.0,0.000466618257591,0.16374742352,96.80867,-109.055435,-247.828217
35,Lucky5713,18,3,2250.0,59.0,0.000273763206254,0.231968666336,213.576996,-203.54512,-340.665527
36,Tedtyper,4,5,394.0,46.0,0.000163376872339,0.0,-390.851166,1295.899902,-107.760788
37,AKCruzGal,6,5,357.0,48.0,0.00109099695639,0.0981464092607,-392.310455,1300.025391,-119.193642
38,appraiser119,3,3,696.0,49.0,0.000191688635135,0.0960816320579,431.57962,-115.833206,-100.344536
40,RBeus,4,1,3518.0,53.0,0.000169602810416,0.00680391369211,-401.277618,816.859802,135.953461
44,huckabee4me,10,6,0.0,0.0,0.000163376872339,0.0,345.47464,587.462524,447.497375
45,JohnsonDeborah,9,6,402.0,50.0,0.000504363286487,0.0485226735231,355.011566,590.104004,464.918152
46,amrightnow,104,3,0.0,0.0,0.000163376872339,0.0,290.273865,-105.334763,-91.279892
47,4AmericaToday,22,3,1896.0,55.0,0.000970361251567,0.23790218049,357.36734,-114.170753,65.278442
49,eliseashton1,3,1,63.0,42.0,0.0001832194383,0.0109620456785,-359.386871,909.356506,54.670498
53,FoxNews,66,11,7909353.0,95.0,0.000166270017701,0.0022679712307,-199.315079,226.019897,211.223862
55,wood_brdwood68,25,3,536.0,50.0,0.00109711526455,0.324504643141,349.774597,-138.360184,-90.37616
57,CNNPolitics,30,8,0.0,0.0,0.000163376872339,0.0,-80.706337,141.556335,402.21048
59,Bonfiredesigns,45,3,2398.0,63.0,0.000216021680602,0.100443654977,176.99736,-47.839981,-290.586548
60,babysgramma,4,3,491.0,58.0,0.000188469028969,0.0774643559122,194.638062,-79.479195,-326.088745
61,49f8f38790164c4,21,3,754.0,53.0,0.000561013034515,0.493600923371,246.067032,-113.795029,-90.69239
62,SoCal4Trump,27,3,0.0,0.0,0.000163376872339,0.0,274.704437,-28.783257,-129.027359
63,LucySullivan888,12,3,1847.0,58.0,0.000294341389478,0.133897163452,221.739212,57.84713,-133.672485
68,SteveDeaceShow,25,1,22061.0,73.0,0.000232153499362,0.0449296761293,-429.628143,1036.196777,6.595204
69,LewisCountyCruz,9,1,2735.0,56.0,0.000292088487503,0.0378619591013,-415.661224,1021.407532,52.242405
70,Samstwitch,40,0,2913.0,61.0,0.000240011209805,0.152304077881,323.204285,-277.170044,-28.5296
71,Scrufey21,14,0,3150.0,43.0,0.000387916652782,0.612251904742,182.61705,-63.208305,-87.608147
72,JohnFromCranber,82,3,100661.0,66.0,0.000163376872339,0.0,33.885677,224.8078,-143.558365
74,Suthen_boy,6,10,0.0,0.0,0.000163376872339,0.0,414.221161,309.101624,30.884371
77,SandyPierce,14,1,428.0,44.0,0.000420666728429,0.425147901142,-287.906311,853.594543,11.803719
78,CNN,36,8,22855606.0,99.0,0.000163376872339,0.0,-225.911224,-98.29615,431.55896
79,lamenaknight,3,8,754.0,47.0,0.000211696613541,0.0109620456785,-470.712494,-161.910492,673.693787
80,SSbridges51,6,9,1697.0,52.0,0.000169433564937,0.0154074412365,405.778809,-147.404449,-430.272766
81,BeritaMooneyhan,6,9,617.0,42.0,0.000312821276219,0.201946578414,359.310242,-155.29837,-441.088257
86,curtismuddog,23,0,1197.0,57.0,0.000827825501025,0.334919408798,416.883789,-241.561996,-392.76355
88,YugeMilo,117,9,27694.0,63.0,0.00157740919028,0.267739250262,393.299347,-128.671036,-521.245056
89,ofccadjust,19,9,3494.0,62.0,0.000269356836594,0.226449279294,445.210052,-197.7052,-382.561401
91,JohnGGalt,49,3,57965.0,0.0,0.000212794857326,0.111046193477,307.063843,-237.507446,-429.556366
92,Ricky_Vaughn99,115,3,14217.0,78.0,0.000301461476192,0.109336170959,155.436081,-239.358459,-430.170776
93,argmachinetv,4,3,812.0,51.0,0.00022896391457,0.152895230427,192.58403,-162.367416,-502.824402
94,CASMF,3,1,425.0,45.0,0.000199312783151,0.00680391369211,-402.77832,870.573547,86.96315
96,ImmigranNacion,10,4,0.0,0.0,0.000163376872339,0.0,554.556396,-30.592356,2530.531982
98,granmary7235,5,1,1511.0,54.0,0.000230107628066,0.0153621769978,-421.07077,867.539001,20.34454
99,NoChristie16,3,4,0.0,0.0,0.000163376872339,0.0,-136.361893,198.745316,704.07605
101,PoetessMills,4,1,32.0,22.0,0.000170771197033,0.0132300169092,-335.8125,911.227173,56.858128
103,tony_deyoung,3,9,2281.0,46.0,0.000163376872339,0.0,382.382202,-146.957138,-540.604492
106,GenesSmile,14,1,3742.0,49.0,0.000607608886411,0.167238962104,-375.487213,801.132019,2.144765
107,cspan,7,7,0.0,0.0,0.000163376872339,0.0,-304.181213,-68.882004,375.77359
111,chriskyleband,35,3,5675.0,64.0,0.000235140961192,0.0675483987524,489.52832,-185.517685,-173.501068
113,asdytagshfbyho1,3,9,7.0,0.0,0.000163376872339,0.0,407.886017,-94.717491,-578.289612
