id,label,degree,3d_x,3d_y,3d_z,2d_x,2d_y
1049,4.0,4,160.3535,100.620628,139.762268,-255.313263,-312.794281
993,9.0,4,92.632172,172.041,-282.706207,23.239279,-322.069824
1081,3.0,6,-439.094208,112.809013,242.036514,204.697296,300.41925
1124,8.0,5,-406.027222,102.144363,-49.127789,217.245529,158.530701
154,5.0,3,-478.910278,58.937229,199.1203,208.901871,317.024597
1824,5.0,8,-380.624237,28.591408,143.772385,124.254608,233.293533
1231,2.0,4,-90.559319,360.719177,123.740891,168.718811,-347.454926
926,5.0,4,-290.832642,153.569931,-390.240692,217.397049,-83.220459
1776,8.0,4,-269.484406,209.095276,70.406204,188.57135,41.91024
550,0.0,6,-494.55835,-488.225555,-263.907715,-343.968811,599.524841
1366,2.0,4,-403.991852,223.948868,-9.920771,260.478271,107.588036
1735,8.0,4,-321.852356,218.094803,-220.354935,269.619202,-43.481903
195,6.0,6,-317.131287,-475.065552,219.8526,-475.479736,342.846588
1793,4.0,4,138.74469,-51.27668,16.708986,-323.074463,-200.303818
64,7.0,5,-110.427841,324.107697,-227.733444,211.722015,-266.233154
12,4.0,7,126.027443,-57.756466,106.984833,-344.851257,-170.612625
1392,0.0,3,-365.901886,-434.935394,-218.021652,-347.104614,456.108978
635,1.0,5,-250.907166,659.486145,-30.167576,525.964294,-365.349701
1945,2.0,4,-339.739532,31.179106,-366.035919,11.811889,17.863375
1131,1.0,5,-105.697739,142.842133,120.978874,-10.692029,-134.749466
748,8.0,5,-320.208618,56.506821,-386.405853,106.630043,29.144236
906,4.0,3,146.313721,-39.582001,129.854263,-355.127045,-202.802139
528,6.0,4,-285.891876,-475.738434,215.2771,-488.902405,331.388153
1626,6.0,3,-377.376953,-239.360046,186.930756,-187.480667,293.077728
1191,9.0,6,101.888695,78.618675,-294.485413,-57.043304,-270.756897
1585,2.0,4,-316.157959,86.135567,-322.098755,41.574097,-26.347418
1956,5.0,3,-362.175293,54.407364,131.688675,149.070313,208.05687
1365,4.0,3,86.89679,4.589221,-121.347069,-194.92244,-206.706589
739,3.0,4,-516.589478,59.850636,336.839935,203.817383,445.044556
1967,7.0,3,179.059708,244.888168,91.396088,-183.034821,-439.870148
1873,6.0,6,-407.343628,-122.090431,122.181839,-44.83556,276.144958
1403,3.0,3,-397.773804,300.45517,-148.367142,352.673035,-27.052757
349,9.0,3,-249.092163,247.858704,-292.683319,256.908264,-138.386551
1798,7.0,6,-7.933767,246.825516,68.75515,24.631123,-243.536362
1528,1.0,3,-309.74823,472.927429,-542.74823,557.335876,-227.947281
1896,6.0,3,-324.530914,-530.263855,246.102203,-535.306213,368.719116
690,6.0,3,-374.11377,-432.469238,197.362671,-395.426056,390.305969
1368,0.0,3,-502.408569,-564.682617,-174.113861,-382.575012,668.789978
1413,8.0,7,-289.160461,189.356827,163.356964,163.127563,136.750992
1636,0.0,3,-484.558594,-558.661621,-146.535431,-380.256348,655.102966
180,4.0,3,191.851654,73.33461,-58.330109,-219.746155,-330.863342
708,6.0,4,-178.73822,-391.828339,186.581726,-485.758026,186.8022
1351,6.0,5,-290.299683,-558.562073,245.43425,-579.46405,362.304962
1543,8.0,5,-75.602463,165.224579,-234.57489,66.323784,-202.47229
917,6.0,3,-333.7164,-401.952789,214.101898,-404.96521,302.169006
1881,4.0,5,155.147156,-164.493103,64.135399,-453.796875,-145.727737
1025,7.0,3,100.90448,196.989944,2.234185,-113.345917,-334.717621
1158,7.0,7,78.843803,288.708496,20.834,-50.46228,-380.398376
1018,1.0,4,-92.396957,691.747681,130.802368,446.443024,-550.293274
1927,1.0,3,-264.028656,299.560486,-345.960663,312.348724,-159.870728
277,0.0,4,-464.173279,-294.646606,-0.217613,-156.679382,468.901398
1833,1.0,3,45.695755,695.325378,266.001251,337.652283,-698.422424
1347,9.0,3,110.000496,177.771637,105.570259,-143.582748,-313.39389
908,7.0,6,41.054611,246.838287,-244.527954,64.556015,-356.176361
1243,5.0,3,-482.206207,-76.576508,232.808655,63.547554,456.044678
1227,3.0,5,-203.290558,85.900658,210.81395,12.66923,108.293327
652,9.0,4,54.827156,67.840347,60.674595,-181.931274,-204.614273
1838,7.0,3,-95.684494,305.89621,-246.54393,193.770752,-274.69632
661,9.0,3,8.797375,193.770782,-354.278381,118.127594,-303.937408
1769,1.0,4,-327.676178,331.756927,-426.783813,397.38681,-141.121597
201,2.0,5,-386.716553,117.258186,-307.252655,104.206909,-9.548042
1308,5.0,4,-458.052032,112.258301,160.690613,257.009613,267.928528
438,2.0,3,-385.865051,40.670902,-365.583435,15.907983,28.611887
92,2.0,4,-472.378632,246.364716,-183.467163,320.242462,24.399862
1358,3.0,3,-463.737457,122.495224,186.562927,261.334351,289.159393
910,5.0,8,-279.186005,63.739841,-258.035889,148.970627,-39.802128
422,6.0,3,-165.420761,-314.378815,174.875916,-413.517273,146.813736
551,0.0,3,-497.779388,-504.21405,-254.337524,-352.335327,613.645569
976,2.0,5,-443.934692,1.626127,-282.532349,23.011692,117.906052
1472,7.0,4,-80.523964,213.21579,-305.916382,138.444962,-248.802475
1882,4.0,4,-67.508492,55.728931,-173.764725,-42.241192,-137.950317
1596,2.0,6,-282.082703,150.059982,-264.798737,122.091301,-69.22287
412,7.0,5,-85.298775,213.790207,-294.594574,143.690277,-237.463043
521,4.0,5,140.704483,121.067902,125.016777,-218.923584,-306.267792
83,1.0,4,-357.760773,672.098999,-153.660248,645.646973,-239.975586
294,9.0,3,59.590317,121.13858,16.44549,-118.166496,-242.056702
772,3.0,4,-501.915924,102.884537,267.07843,251.874435,366.952454
552,2.0,8,-439.68576,255.789856,-180.520172,303.49469,-11.792128
981,1.0,7,-382.140137,217.404694,-447.255493,305.645355,-66.103348
1929,6.0,3,-296.206055,-562.021973,247.526413,-580.467346,369.701843
513,4.0,11,101.439629,-2.381244,-329.061249,-111.898521,-217.130478
777,1.0,4,84.851158,698.38147,299.586151,314.03183,-739.359436
1678,0.0,5,-385.934601,-353.323395,-324.163361,-280.634644,401.502625
1955,0.0,3,-458.62146,-293.609375,-6.842048,-163.292786,462.606812
