Source,Target,weight
BioWreck,the_fire_berns,11.0
InfamousGrace_,GlennHeiser,8.0
azblonde2015,bobbyhochu,7.0
Libertea2012,lindamama02,7.0
FoxNews,NorskNN_Int,6.0
huckabee4me,JohnsonDeborah,6.0
Bonfiredesigns,babysgramma,6.0
AidanKing_,jkrupkin26,6.0
YugeMilo,ofccadjust,5.0
BernieSanders,BerniesBros,5.0
_feel_the_bern_,the_fire_berns,5.0
eelawl1966,IDreamIn4D,5.0
BernieSanders,elfudge35,5.0
Iowa4Bernie,rjber15,5.0
BernieSanders,angelninja59,5.0
People4Bernie,KAIJUKING23,5.0
ProGloCommons,unetomaterouge,5.0
Women4Bernie,JenniSiri,5.0
BernieSanders,Bernie4All,5.0
People4Bernie,rafie281,5.0
BernieSanders,purpletaffy1,5.0
AidanKing_,llAdrianomegall,5.0
People4Bernie,matthewshoreNY,5.0
GRForSanders,pilgrimseoul,4.0
Ricky_Vaughn99,biggixer,4.0
ernieHHI,JasonsGrandpa,4.0
BernieSanders,1PhoenixDragon,4.0
GRForSanders,Pasternak94,4.0
BernieSanders,SubyWill,4.0
People4Bernie,heatherwebb96,4.0
AidanKing_,Arphahat,4.0
GRForSanders,rjber15,4.0
shadz6ty6,WoobieTuesday,4.0
DanScavino,bigdemilovato1,4.0
CNNPolitics,juancplascencia,4.0
BernieSanders,iheartbernie,4.0
BernieSanders,cook_robert_l,4.0
AidanKing_,OldsterLady,4.0
arizonasanders,jamesjohnrod,4.0
azblonde2015,pennyrn2010,4.0
Ricky_Vaughn99,jenilynn1001,4.0
BernieSanders,rafie281,4.0
GMA,pressnews2016,4.0
KLSouth,Lucky5713,4.0
jenilynn1001,TrumpLouisiana,4.0
Libertea2012,Averyatswanpond,4.0
BernieSanders,fromtheflipside,4.0
jenilynn1001,julimwilkins,4.0
BerniesHomie,BerniesBros,4.0
BernieSanders,Illinois4Bernie,4.0
ernieHHI,4AmericaToday,4.0
People4Bernie,nana_mo_Amelika,4.0
People4Bernie,JSithavady,4.0
ernieHHI,mcicero10,4.0
Ricky_Vaughn99,argmachinetv,4.0
BernieSanders,carmic14,4.0
ChristiChat,concerningtimes,4.0
AidanKing_,pilgrimseoul,4.0
BernieSanders,RF_burns_red,4.0
azblonde2015,donegalceline,4.0
realDonaldTrump,estera8763,4.0
yachts210696,YugeTrumpnado,4.0
azblonde2015,yesdog1942,4.0
jmbse,BeccaKeating1,4.0
azblonde2015,drzevetchin,4.0
KekdzezezKeklel,YugeMilo,4.0
BernieSanders,AKBravesFan98,4.0
realDonaldTrump,curtismuddog,4.0
ernieHHI,drzevetchin,3.0
Women4Bernie,BlkGirls4Bernie,3.0
DanScavino,angelacbrown821,3.0
ND4Bernie,etara44,3.0
bertonpaysonya1,YugeMilo,3.0
DanScavino,jack_jdcagle,3.0
BernieSanders,darshiido22,3.0
GRForSanders,the_newtt,3.0
mikesldy6969,katz0081,3.0
CorrectRecord,damonbethea1,3.0
WayneEdH,Plantflowes,3.0
People4Bernie,llarks,3.0
BernieSanders,josechasin,3.0
FrenchForTrump,philmonaco67,3.0
AngrySenSanders,IL9CD4Bernie,3.0
GRForSanders,darshiido22,3.0
BernieSanders,JohnCzer1,3.0
WayneDupreeShow,ChristiChat,3.0
azblonde2015,KathyVanKlavere,3.0
HouseCracka,heavenlyitalian,3.0
TweetingYarnie,RaySlamb,3.0
BerniesBros,IL9CD4Bernie,3.0
ChristiChat,Esteban15120999,3.0
jmbse,psalm2607,3.0
TrumpNewMedia,Joymar27,3.0
People4Bernie,Skyneye,3.0
Ricky_Vaughn99,YouLootWeShoot,3.0
BernieSanders,CAS2328,3.0
People4Bernie,scotty2971,3.0
shanevanderhart,JoshPainter2154,3.0
DanScavino,GuilloJavier27,3.0
2ANow,bcwilliams92,3.0
BernieSanders,Nicole28851,3.0
CNNPolitics,res0xhdb2,3.0
CorrectRecord,marcylauren,3.0
ThomasBernpaine,NyniaChance,3.0
alexandraheuser,patriotmom61,3.0
Bernlennials,BerniesBros,3.0
Women4Bernie,BerniesBros,3.0
DarleneHBrook,tgradous,3.0
