id,label,degree,community,x,y,z
the_fire_berns,0,6,1,325.019806,456.424042,-283.272919
BioWreck,1,5,1,285.627716,398.228577,-221.984146
CNNPolitics,5,37,1,-10.640977,2.740921,-88.728439
GlennHeiser,8,58,1,528.365417,752.437012,-509.884033
InfamousGrace_,9,21,1,584.952454,760.592163,-521.36731
azblonde2015,11,183,0,-1012.489807,-984.170837,527.430603
bobbyhochu,14,19,0,-961.781799,-1043.438843,525.125854
lindamama02,15,8,1,469.302246,640.150208,-337.696686
Libertea2012,16,134,1,467.973969,654.539063,-380.581024
NorskNN_Int,17,3,6,-311.083038,-690.045044,449.946167
FoxNews,18,48,6,-337.862183,-833.254456,551.596191
JohnsonDeborah,19,9,3,6.802568,-1129.167236,1181.663818
huckabee4me,20,10,3,-7.388445,-1131.842407,1167.141846
babysgramma,22,3,0,-1046.91626,-1121.575806,567.994202
Bonfiredesigns,23,34,0,-1016.058838,-1083.187744,565.75824
jkrupkin26,24,29,1,236.858353,812.822327,-584.44104
AidanKing_,25,69,1,380.182831,910.432129,-585.180054
BernieSanders,27,446,1,235.920654,865.517395,-425.337158
ofccadjust,28,12,0,-966.839294,-1082.948242,806.563782
YugeMilo,29,88,0,-948.213196,-1123.701416,858.51886
BerniesBros,30,65,1,379.781006,797.12854,-522.936401
_feel_the_bern_,31,6,1,448.222992,499.124481,-349.331207
IDreamIn4D,32,11,1,453.529572,855.625549,-501.657318
eelawl1966,33,40,1,497.484314,756.555969,-391.101959
elfudge35,34,9,1,308.037781,826.733032,-504.704498
rjber15,35,8,1,347.396423,851.575378,-421.43811
Iowa4Bernie,36,130,1,398.072052,799.49939,-354.62854
angelninja59,37,4,1,176.513046,840.007813,-445.955902
NoChristie16,39,3,2,501.350433,-572.34198,-101.932953
KAIJUKING23,40,48,1,465.222839,772.124023,-440.514618
People4Bernie,41,263,1,320.629242,749.059204,-550.591309
unetomaterouge,42,13,1,295.140076,936.621277,-318.802704
ProGloCommons,43,14,1,272.662567,964.109741,-313.945648
JenniSiri,44,5,1,413.816223,718.56366,-708.739929
Women4Bernie,45,127,1,401.023407,770.478149,-637.590393
Bernie4All,46,3,1,201.102051,872.309998,-512.967102
rafie281,48,32,1,331.266235,778.351074,-416.706329
purpletaffy1,51,14,1,319.17984,892.523376,-596.155334
llAdrianomegall,52,5,1,370.475037,971.418945,-612.897034
matthewshoreNY,53,5,1,290.813202,849.359192,-548.812256
DanScavino,55,257,0,-917.435242,-940.343384,603.403625
chriskyleband,57,28,0,-1063.049316,-1053.569214,499.087158
cspan,59,8,4,-143.008621,-220.743057,145.901886
pilgrimseoul,64,13,1,363.093933,997.756958,-590.372864
GRForSanders,65,159,1,319.403107,925.3526,-562.196655
biggixer,67,5,0,-813.477966,-1075.687622,434.020294
Ricky_Vaughn99,68,76,0,-805.67218,-1068.919434,454.487152
JasonsGrandpa,69,16,0,-907.813354,-817.388,496.255798
ernieHHI,70,106,0,-889.416504,-988.849243,516.582031
1PhoenixDragon,71,7,1,364.188232,975.087097,-331.235992
Pasternak94,72,13,1,285.133575,920.070129,-601.046631
SubyWill,73,5,1,172.21315,913.719543,-420.921387
heatherwebb96,74,6,1,148.345474,723.865417,-566.297119
Arphahat,75,13,1,346.841431,893.210144,-548.212524
WoobieTuesday,76,14,1,507.03186,882.407288,-234.270584
shadz6ty6,77,9,1,588.859192,884.812683,-271.833496
bigdemilovato1,78,10,0,-875.536316,-882.71405,453.685822
juancplascencia,79,4,1,-121.914139,-44.020069,-11.106331
_HankRearden,81,63,0,-906.596802,-937.888672,726.204895
iheartbernie,82,7,1,381.096954,956.831604,-297.293152
cook_robert_l,83,29,1,556.98822,720.795837,-383.471069
OldsterLady,84,16,1,464.26297,976.33606,-639.455872
jamesjohnrod,89,3,1,450.622314,595.627991,-688.266907
arizonasanders,90,18,1,435.282288,585.53833,-642.723328
pennyrn2010,91,14,0,-921.801819,-940.858521,450.747223
jenilynn1001,92,62,0,-827.918457,-996.629822,455.331085
pressnews2016,97,3,0,-322.323334,-550.374512,72.038132
GMA,98,27,0,-167.912918,-414.724152,-58.248276
nowin2613,100,6,1,628.380615,511.454285,-248.647827
Lucky5713,104,10,0,-1029.94812,-966.224792,424.132721
KLSouth,105,45,0,-898.364502,-842.229614,454.870667
TrumpLouisiana,106,30,0,-832.653564,-945.986206,387.368469
Averyatswanpond,107,8,1,587.546265,755.278503,-312.650452
fromtheflipside,108,20,1,257.147369,712.053528,-386.911865
julimwilkins,109,5,0,-906.86731,-955.188538,487.903595
BerniesHomie,110,124,1,404.929321,697.59137,-456.246826
Illinois4Bernie,111,19,1,355.304504,899.920715,-499.915253
4AmericaToday,112,14,0,-864.351135,-783.294678,349.869598
nana_mo_Amelika,113,32,1,550.203186,682.304504,-441.808624
JSithavady,114,18,1,266.084106,711.066284,-548.609314
mcicero10,115,10,0,-712.067383,-921.982361,556.646423
argmachinetv,116,3,0,-747.669312,-1080.108276,450.412659
carmic14,117,14,1,392.855865,738.748047,-351.115112
concerningtimes,118,15,0,-797.157593,-993.630554,545.635071
ChristiChat,119,90,0,-862.091919,-1032.142212,622.847656
kateloving,120,13,1,408.45932,606.166809,-390.047516
RF_burns_red,122,5,1,177.335495,873.601868,-439.716431
donegalceline,123,3,0,-1004.140564,-1047.780518,539.95282
estera8763,124,7,0,-796.898865,-837.938782,700.50415
realDonaldTrump,125,88,0,-885.681091,-844.661194,705.137512
YugeTrumpnado,126,22,0,-1030.761963,-1163.281006,973.973877
yachts210696,127,3,0,-1015.17749,-1172.042603,924.128052
yesdog1942,129,9,0,-953.806824,-947.789917,495.930908
BeccaKeating1,130,5,6,-36.467407,-714.692627,1074.474976
jmbse,131,9,6,-7.649712,-688.906433,1084.009033
drzevetchin,132,9,0,-1037.023071,-1014.691772,489.746582
KekdzezezKeklel,133,6,0,-956.06488,-1124.861694,924.335754
AKBravesFan98,135,4,1,242.286041,980.423096,-431.869812
curtismuddog,136,13,0,-942.077942,-1056.647217,875.558899
BlkGirls4Bernie,137,46,1,449.872894,731.501282,-502.363068
angelacbrown821,138,7,0,-972.576233,-987.902283,714.947693
etara44,139,10,1,551.435669,876.180603,-578.481873
ND4Bernie,140,77,1,603.284912,747.2948,-473.272003
bertonpaysonya1,142,5,0,-971.022949,-1140.760132,912.003174
jack_jdcagle,143,5,0,-986.160034,-1106.246826,704.548096
darshiido22,144,12,1,300.647552,936.460754,-639.771179
the_newtt,145,14,1,273.069427,962.266724,-494.14505
bennyjohnson,148,12,1,302.710114,372.503204,-28.237659
katz0081,149,17,1,615.507751,750.827332,-347.526093
mikesldy6969,150,19,1,632.059143,788.294006,-511.135773
