source,target,weight
4,5,10.000000
6,7,10.000000
0,9,10.000000
0,12,10.000000
13,14,10.000000
16,17,9.000000
20,21,8.000000
0,22,8.000000
25,26,8.000000
32,33,7.000000
34,35,7.000000
36,37,7.000000
32,38,7.000000
17,16,7.000000
0,40,7.000000
44,45,6.000000
46,47,6.000000
0,49,6.000000
46,55,6.000000
59,60,6.000000
46,61,6.000000
62,63,6.000000
68,69,5.000000
70,71,5.000000
72,33,5.000000
0,77,5.000000
78,79,5.000000
80,81,5.000000
4,86,5.000000
88,89,5.000000
91,35,5.000000
92,93,5.000000
0,94,5.000000
0,98,5.000000
0,101,5.000000
103,88,5.000000
0,106,5.000000
113,88,5.000000
0,116,5.000000
53,117,5.000000
118,119,4.000000
0,120,4.000000
122,123,4.000000
32,124,4.000000
125,126,4.000000
127,128,4.000000
0,130,4.000000
133,134,4.000000
32,136,4.000000
139,140,4.000000
4,127,4.000000
32,145,4.000000
149,88,4.000000
122,153,4.000000
0,158,4.000000
160,161,4.000000
127,162,4.000000
0,166,4.000000
0,168,4.000000
29,169,4.000000
29,177,4.000000
0,180,4.000000
92,181,4.000000
149,183,4.000000
186,55,4.000000
187,188,4.000000
29,189,4.000000
0,190,4.000000
0,192,4.000000
199,200,4.000000
170,202,4.000000
0,208,4.000000
200,210,4.000000
213,214,4.000000
118,218,4.000000
122,47,4.000000
224,225,4.000000
199,226,4.000000
0,232,4.000000
236,237,4.000000
92,238,4.000000
0,240,4.000000
72,242,4.000000
32,247,4.000000
248,249,4.000000
251,252,4.000000
92,127,4.000000
254,88,4.000000
29,255,4.000000
46,256,4.000000
187,257,4.000000
258,259,4.000000
32,262,4.000000
91,265,4.000000
199,266,4.000000
36,119,4.000000
0,269,4.000000
200,271,3.000000
273,274,3.000000
29,275,3.000000
277,278,3.000000
32,280,3.000000
283,284,3.000000
29,290,3.000000
170,166,3.000000
0,294,3.000000
32,300,3.000000
122,302,3.000000
306,307,3.000000
53,308,3.000000
0,312,3.000000
57,313,3.000000
46,314,3.000000
200,317,3.000000
32,320,3.000000
321,322,3.000000
323,324,3.000000
200,327,3.000000
170,333,3.000000
337,338,3.000000
92,341,3.000000
343,344,3.000000
347,317,3.000000
199,353,3.000000
133,354,3.000000
139,355,3.000000
139,356,3.000000
32,357,3.000000
170,361,3.000000
199,365,3.000000
139,369,3.000000
0,370,3.000000
371,372,3.000000
343,202,3.000000
373,258,3.000000
378,379,3.000000
382,383,3.000000
385,133,3.000000
29,386,3.000000
186,387,3.000000
335,388,3.000000
29,390,3.000000
393,180,3.000000
29,395,3.000000
68,400,3.000000
401,183,3.000000
139,403,3.000000
29,404,3.000000
46,406,3.000000
407,408,3.000000
335,410,3.000000
139,411,3.000000
92,414,3.000000
160,421,3.000000
29,424,3.000000
29,428,3.000000
186,429,3.000000
432,433,3.000000
435,200,3.000000
437,438,3.000000
200,320,3.000000
0,442,3.000000
444,128,3.000000
133,180,3.000000
449,450,3.000000
285,455,3.000000
456,457,3.000000
29,458,3.000000
32,459,3.000000
91,460,3.000000
465,466,3.000000
471,472,3.000000
473,37,3.000000
474,166,3.000000
0,475,3.000000
476,200,3.000000
139,479,3.000000
304,269,3.000000
482,483,3.000000
29,484,3.000000
485,188,3.000000
46,487,3.000000
491,361,3.000000
170,492,3.000000
248,493,3.000000
494,492,3.000000
476,495,3.000000
32,497,3.000000
160,365,3.000000
474,498,3.000000
499,307,3.000000
504,505,3.000000
509,88,3.000000
258,510,3.000000
155,511,3.000000
170,338,3.000000
306,187,3.000000
160,525,3.000000
526,88,3.000000
32,531,3.000000
465,532,3.000000
534,535,3.000000
306,257,3.000000
474,540,3.000000
544,545,3.000000
547,548,3.000000
473,218,3.000000
553,177,3.000000
199,327,3.000000
557,558,3.000000
0,559,3.000000
46,561,3.000000
321,563,3.000000
457,565,3.000000
21,568,3.000000
70,570,3.000000
236,571,3.000000
199,210,3.000000
199,576,3.000000
371,577,3.000000
586,448,3.000000
588,589,3.000000
57,591,3.000000
174,594,3.000000
595,596,3.000000
0,599,3.000000
170,601,3.000000
29,602,3.000000
607,429,3.000000
474,611,3.000000
474,613,3.000000
92,33,3.000000
367,623,3.000000
624,625,3.000000
509,86,3.000000
0,628,3.000000
629,630,3.000000
32,61,3.000000
477,632,3.000000
634,635,3.000000
637,638,3.000000
639,640,3.000000
169,645,3.000000
646,647,3.000000
32,648,3.000000
199,649,3.000000
170,650,3.000000
199,653,3.000000
655,656,3.000000
6,658,3.000000
29,661,3.000000
662,183,3.000000
122,145,3.000000
92,664,3.000000
199,666,3.000000
32,669,3.000000
187,307,3.000000
673,674,3.000000
675,676,2.000000
686,88,2.000000
34,687,2.000000
139,689,2.000000
690,92,2.000000
283,695,2.000000
696,697,2.000000
706,707,2.000000
465,708,2.000000
710,711,2.000000
712,713,2.000000
122,717,2.000000
482,247,2.000000
724,725,2.000000
29,731,2.000000
91,732,2.000000
737,738,2.000000
32,739,2.000000
662,448,2.000000
499,188,2.000000
744,745,2.000000
747,748,2.000000
710,457,2.000000
6,749,2.000000
34,262,2.000000
29,752,2.000000
170,755,2.000000
170,308,2.000000
474,372,2.000000
759,760,2.000000
761,16,2.000000
763,764,2.000000
44,765,2.000000
766,226,2.000000
767,768,2.000000
769,448,2.000000
639,770,2.000000
697,771,2.000000
170,158,2.000000
435,127,2.000000
773,774,2.000000
780,781,2.000000
248,782,2.000000
0,783,2.000000
283,784,2.000000
787,788,2.000000
577,790,2.000000
659,793,2.000000
32,794,2.000000
795,796,2.000000
577,799,2.000000
199,801,2.000000
659,802,2.000000
283,805,2.000000
29,806,2.000000
808,809,2.000000
812,813,2.000000
29,815,2.000000
122,819,2.000000
822,725,2.000000
92,823,2.000000
825,826,2.000000
170,827,2.000000
828,829,2.000000
174,835,2.000000
266,836,2.000000
839,88,2.000000
25,840,2.000000
841,442,2.000000
845,846,2.000000
29,848,2.000000
744,849,2.000000
0,850,2.000000
53,851,2.000000
92,852,2.000000
675,853,2.000000
855,856,2.000000
107,857,2.000000
122,862,2.000000
284,863,2.000000
343,864,2.000000
200,866,2.000000
456,870,2.000000
871,872,2.000000
876,877,2.000000
4,878,2.000000
883,884,2.000000
889,890,2.000000
896,897,2.000000
34,898,2.000000
905,906,2.000000
32,907,2.000000
0,910,2.000000
4,911,2.000000
917,918,2.000000
29,919,2.000000
254,183,2.000000
29,926,2.000000
927,928,2.000000
373,930,2.000000
335,931,2.000000
186,61,2.000000
932,933,2.000000
934,935,2.000000
936,937,2.000000
25,465,2.000000
199,424,2.000000
283,940,2.000000
474,941,2.000000
122,942,2.000000
37,473,2.000000
32,943,2.000000
32,945,2.000000
29,946,2.000000
948,457,2.000000
46,950,2.000000
199,954,2.000000
29,955,2.000000
331,956,2.000000
960,638,2.000000
0,961,2.000000
965,966,2.000000
72,638,2.000000
969,970,2.000000
971,972,2.000000
96,973,2.000000
29,162,2.000000
4,977,2.000000
979,570,2.000000
680,980,2.000000
474,983,2.000000
984,265,2.000000
32,987,2.000000
88,183,2.000000
474,383,2.000000
96,988,2.000000
25,995,2.000000
32,996,2.000000
188,306,2.000000
72,997,2.000000
372,371,2.000000
248,717,2.000000
0,1002,2.000000
32,525,2.000000
1005,473,2.000000
96,1006,2.000000
337,1008,2.000000
1009,1010,2.000000
186,525,2.000000
32,55,2.000000
32,1011,2.000000
4,1013,2.000000
1014,1015,2.000000
893,1016,2.000000
199,1017,2.000000
800,1018,2.000000
934,1019,2.000000
170,1020,2.000000
21,1021,2.000000
659,1022,2.000000
1026,1027,2.000000
199,1028,2.000000
0,1031,2.000000
1035,1036,2.000000
1037,919,2.000000
1038,638,2.000000
1039,86,2.000000
4,1041,2.000000
876,1046,2.000000
92,1047,2.000000
1048,1049,2.000000
213,878,2.000000
285,1052,2.000000
283,341,2.000000
1055,1056,2.000000
29,1057,2.000000
655,1059,2.000000
4,484,2.000000
139,1066,2.000000
1067,1068,2.000000
1069,81,2.000000
0,1074,2.000000
1075,1076,2.000000
20,1081,2.000000
637,1084,2.000000
